0.0	 R	 90	 15	 50.0	 900
5.995	 F	 0	 239	 12345.0 900
6.0 	S	 0	 29	 200.0	 900
6.005 	S	 0	 239	 0.0	 900
6.015 	S	 30	 59	 200.0	 900
6.02 	S	 0	 239	 0.0	 900
6.03 	S	 60	 89	 200.0	 900
6.035 	S	 0	 239	 0.0	 900
6.045 	S	 0	 29	 200.0	 900
6.05 	S	 0	 239	 0.0	 900
6.06 	S	 30	 59	 200.0	 900
6.065 	S	 0	 239	 0.0	 900
6.075 	S	 60	 89	 200.0	 900
6.08 	S	 0	 239	 0.0	 900
6.09 	S	 0	 29	 200.0	 900
6.095 	S	 0	 239	 0.0	 900
6.105 	S	 30	 59	 200.0	 900
6.11 	S	 0	 239	 0.0	 900
6.12 	S	 60	 89	 200.0	 900
6.125 	S	 0	 239	 0.0	 900
6.135 	F	0	 239	 12345	 900
6.135 	S	 0	 29	 200.0	 900
6.14 	S	 0	 239	 0.0	 900
6.15 	S	 30	 59	 200.0	 900
6.155 	S	 0	 239	 0.0	 900
6.165 	S	 60	 89	 200.0	 900
6.17 	S	 0	 239	 0.0	 900
6.18 	S	 0	 29	 200.0	 900
6.185 	S	 0	 239	 0.0	 900
6.195 	S	 30	 59	 200.0	 900
6.2 	S	 0	 239	 0.0	 900
6.21 	S	 60	 89	 200.0	 900
6.215 	S	 0	 239	 0.0	 900
6.225 	S	 0	 29	 200.0	 900
6.23 	S	 0	 239	 0.0	 900
6.24 	S	 30	 59	 200.0	 900
6.245 	S	 0	 239	 0.0	 900
6.255 	S	 60	 89	 200.0	 900
6.26 	S	 0	 239	 0.0	 900
6.27 	S	 0	 29	 200.0	 900
6.275 	S	 0	 239	 0.0	 900
6.285 	S	 30	 59	 200.0	 900
6.29 	S	 0	 239	 0.0	 900
6.3 	S	 60	 89	 200.0	 900
6.305 	S	 0	 239	 0.0	 900
6.315 	S	 0	 29	 200.0	 900
6.32 	S	 0	 239	 0.0	 900
6.33 	S	 30	 59	 200.0	 900
6.335 	S	 0	 239	 0.0	 900
6.345 	S	 60	 89	 200.0	 900
6.35 	S	 0	 239	 0.0	 900
6.36 	S	 0	 29	 200.0	 900
6.365 	S	 0	 239	 0.0	 900
6.375 	S	 30	 59	 200.0	 900
6.38 	S	 0	 239	 0.0	 900
6.39 	S	 60	 89	 200.0	 900
6.395 	S	 0	 239	 0.0	 900
6.405 	S	 0	 29	 200.0	 900
6.41 	S	 0	 239	 0.0	 900
6.42 	S	 30	 59	 200.0	 900
6.425 	S	 0	 239	 0.0	 900
6.435 	S	 60	 89	 200.0	 900
6.44 	S	 0	 239	 0.0	 900
6.45 	S	 0	 29	 200.0	 900
6.455 	S	 0	 239	 0.0	 900
6.465 	S	 30	 59	 200.0	 900
6.47 	S	 0	 239	 0.0	 900
6.48 	S	 60	 89	 200.0	 900
6.485 	S	 0	 239	 0.0	 900
6.495 	S	 0	 29	 200.0	 900
6.5 	S	 0	 239	 0.0	 900
6.51 	S	 30	 59	 200.0	 900
6.515 	S	 0	 239	 0.0	 900
6.525 	S	 60	 89	 200.0	 900
6.53 	S	 0	 239	 0.0	 900
